"";"ResponseId";"AGE";"GENDER";"EDUCATION";"PARENT";"POLITCS_PARTY";"POLITICS_LEFTRIGHT";"MFQ1_HARM_EMOTIONALLY_1";"MFQ1_FAIRNESS_TREATED_2";"MFQ1_INGROUP_LOVECOUNTRY_3";"MFQ1_AUTHORITY_RESPECT_4";"MFQ1_PURITY_DECENCY_5";"MFQ1_LIBERTYECO_PROPERTY_6";"MFQ1_HARM_WEAK_8";"MFQ1_FAIRNESS_UNFAIRLY_9";"MFQ1_INGROUP_BETRAY_10";"MFQ1_LIBERTYLIFE_FREE_11";"MFQ1_AUTHORITY_TRADITIONS_12";"MFQ1_PURITY_DISGUSTING_13";"MFQ1_HARM_CRUEL_14";"MFQ1_FAIRNESS_RIGHTS_15";"MFQ1_INGROUP_LOYALTY_16";"MFQ1_AUTHORITY_CHAOS_17";"MFQ1_PURITY_GOD_18";"MFQ2_HARM_COMPASSION_1";"MFQ2_FAIRNESS_FAIRLY_2";"MFQ2_LIBERTYECO_SOCIETY_3";"MFQ2_INGROUP_HISTORY_4";"MFQ2_AUTHORITY_KIDRESPECT_5";"MFQ2_PURITY_HARMLESSDG_6";"MFQ2_LIBERTYECO_INFER_8";"MFQ2_HARM_ANIMAL_9";"MFQ2_FAIRNESS_JUSTICE_10";"MFQ2_INGROUP_FAMILY_11";"MFQ2_LIBERTYECO_WEALTH_12";"MFQ2_PURITY_UNNATURAL_14";"MFQ2_HARM_KILL_16";"MFQ2_FAIRNESS_RICH_17";"MFQ2_LIBERTYECO_PROPERTY_18";"MFQ2_INGROUP_TEAM_19";"MFQ2_LIBERTYLIFE_TRADITION_20";"MFQ2_AUTHORITY_SOLDIER_21";"MFQ2_PURITY_CHASTITY_22";"MFQ2_LIBERTYLIFE_CHOICE_23";"VCI_SAFETY_1";"VCI_PARENTSRIGHT_2";"VCI_OVERWHELM_3";"VCI_PROTECTOTHERS_4";"VCI_ALLERGIES_5";"VCI_LIVINGSTANDARDS_6";"VCI_DECISION_7";"VCI_PHARMA_8";"VCI_COMPULSORY_10";"VCI_CAUSEDISEASE_11";"VCI_CONCEAL_12";"VCI_ALTERNATIVE_13";"VCI_TOXINS_14";"VCI_PROTECTALL_15";"VCI_NATURALLY_16";"VCI_EXEMPT_17";"VCI_INEFFECTIVE_18";"BVIS_HEPATITISB_1";"BVIS_HPV_2";"BVIS_MEASELS_3";"BVIS_MENINGOCOCCAL_4";"BVIS_PERTUSSIS_5";"BVIS_MUMPS_6";"BVIS_POLIO_7";"BVIS_ROTAVIRUS_8";"BVIS_RUBELLA_9";"BVIS_TETANUS_10";"BVIS_CHICKENPOX_11";"INFECTED";"VACCINATED";"COVCI_ANYVACCINE";"COVCI_ASAP";"COVCI_CHOOSEVACCINE";"COVCI_DECIDE";"COVCI_DISADVANTAGE";"COVCI_DUTY";"COVCI_IMPORTANCE";"COVCI_INFECTION";"COVCI_INFORMED";"COVCI_JOBLOSS";"COVCI_PROTECTGENERALLY";"COVCI_PROTECTME";"COVCI_PROTECTOTHERS";"COVCI_RECOMMENDATION";"COVCI_SIDEEFFECTS";"COVCI_THOUGHTFUL";"COVCI_TRUST";"COVCI_UNNATURAL";"COVCI_WAIT";"DEC_GROUP";"ResponseId_f";"PARENT_f";"VACCINATED_f";"POLITCS_PARTY_f";"AGE_f";"GENDER_f";"EDUCATION_f";"INFECTED_f";"background_vaccinated";"background_female";"background_diverse";"background_abitur";"background_mittlereReife";"background_hauptschule";"background_noEdu";"background_parent";"background_age12.15";"background_age16.17";"background_age18.29";"background_age30.39";"background_age40.49";"background_age50.59";"background_age60plus";"background_CDU.CSU";"background_SPD";"background_AfD";"background_Greens";"background_FDP";"background_TheLeft";"background_other.party";"background_covid.infection";"background_politicsLeftRight";"irvTotal";"Zh";"excluded"
"1";"R_sI1723z5p22HTu9";5;2;2;1;2;4;4;4;4;3;3;4;4;4;4;4;3;4;4;4;4;3;4;4;4;4;2;3;3;3;3;3;3;2;2;2;2;3;3;3;2;2;3;3;2;3;3;3;4;3;3;2;4;3;4;4;4;3;2;3;3;3;3;3;3;3;3;3;3;3;3;1;2;3;3;2;1;2;2;3;2;2;2;3;2;2;2;2;2;2;2;2;"supporter";"R_sI1723z5p22HTu9";"yes";"no";"CDU";"30-39";"female";"Mittlere Reife";"yes";0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;4;0,766012842010545;0,082605383142089;FALSE
"2";"R_2ctQW7Ff6b64LKJ";4;2;1;2;4;4;3;3;0;1;1;4;4;4;2;3;0;1;5;3;2;4;0;5;5;3;0;4;0;3;5;5;2;4;3;5;3;3;3;5;2;0;4;2;1;3;4;2;3;1;3;1;5;2;2;2;3;3;1;3;3;3;3;1;0;1;1;1;1;4;0;2;2;0;1;4;0;0;0;1;3;0;4;3;0;3;0;1;4;2;1;0;"rejecter";"R_2ctQW7Ff6b64LKJ";"no";"no";"Greens";"18-29";"female";"Abitur";"no";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;4;1,61408743749546;0,626917558052051;FALSE
"3";"R_2SHqWLuhwL5MpXp";4;1;1;2;4;3;4;4;0;1;5;4;5;5;5;4;1;3;5;4;0;5;4;4;4;3;0;3;2;0;4;5;4;4;4;5;3;4;3;5;1;0;5;5;5;5;5;3;5;2;4;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;2;2;1;4;4;1;4;4;4;4;3;4;4;4;4;4;4;3;4;4;3;"supporter";"R_2SHqWLuhwL5MpXp";"no";"no";"Greens";"18-29";"male";"Abitur";"no";0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3;1,44650249841182;0,157009749021066;FALSE
"4";"R_1EZQizLlhu0dP90";4;1;1;2;2;6;5;4;0;4;4;4;4;5;5;5;1;1;5;5;5;3;0;3;5;1;1;5;0;2;1;5;3;5;2;5;0;5;2;5;1;1;5;5;1;5;5;5;5;1;5;5;5;5;5;5;5;3;3;5;5;5;5;5;5;5;5;5;5;5;5;2;1;4;4;2;3;0;4;4;4;0;4;4;4;4;4;4;2;4;4;4;"supporter";"R_1EZQizLlhu0dP90";"no";"yes";"CDU";"18-29";"male";"Abitur";"no";1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;6;1,67427980081157;-0,751473984829915;FALSE
"5";"R_2alEUTh5kvO45OR";4;2;1;2;7;4;4;4;1;3;4;4;5;5;5;4;2;2;5;4;4;0;4;4;5;4;1;3;2;3;1;4;2;3;2;5;4;4;3;5;4;0;5;5;2;5;5;2;5;2;4;2;5;5;5;5;5;5;2;5;3;1;5;5;4;5;5;4;5;5;4;2;2;0;4;3;0;3;0;4;3;3;4;3;4;4;4;3;3;3;4;2;"supporter";"R_2alEUTh5kvO45OR";"no";"no";"Other.party";"18-29";"female";"Abitur";"no";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;4;1,46026938939896;1,5403123122447;FALSE
"6";"R_1flWRogQ07IDHb7";4;2;1;2;2;5;4;3;1;1;3;4;4;4;5;5;1;4;5;4;2;4;1;4;5;4;1;3;4;5;4;4;1;3;4;2;2;3;3;3;4;0;4;3;2;4;5;1;3;2;2;3;5;5;4;2;5;5;2;2;5;4;5;5;5;5;5;3;3;5;1;2;2;0;4;4;0;4;3;1;4;3;4;4;3;1;3;1;4;3;3;1;"supporter";"R_1flWRogQ07IDHb7";"no";"no";"CDU";"18-29";"female";"Abitur";"no";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;5;1,44605622301304;-0,172723519825274;FALSE
"7";"R_1gGRhrypD7JCNXF";4;2;2;2;2;5;4;4;3;4;4;4;3;3;3;3;3;3;3;3;3;2;1;3;4;4;2;4;3;3;4;4;4;3;3;5;3;5;4;3;2;2;3;3;2;4;2;2;3;1;2;1;4;4;4;3;4;3;2;3;5;4;5;4;4;3;3;4;4;5;5;2;1;0;3;4;1;3;3;3;1;1;4;2;2;2;2;3;2;2;2;1;"supporter";"R_1gGRhrypD7JCNXF";"no";"yes";"CDU";"18-29";"female";"Mittlere Reife";"no";1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;5;1,10253190070973;-0,836838876760837;FALSE
"8";"R_3HBlnOlz7ohtN9D";4;2;1;2;2;5;5;4;4;2;4;4;5;5;4;4;1;5;5;5;1;4;0;4;4;3;1;3;1;2;5;4;1;3;3;5;2;4;1;2;1;0;5;5;2;3;5;4;5;2;5;4;5;5;4;5;5;3;2;5;5;5;5;3;4;4;2;4;4;4;3;2;1;1;4;3;1;2;3;4;3;3;4;4;4;4;3;3;4;4;4;3;"supporter";"R_3HBlnOlz7ohtN9D";"no";"yes";"CDU";"18-29";"female";"Abitur";"no";1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;5;1,38277868039117;0,0895441117672825;FALSE
"9";"R_2qvYTu9ZwJrjQ4J";4;2;1;2;3;7;4;3;1;3;1;3;4;4;4;4;2;3;4;3;3;3;3;2;3;3;1;3;2;3;4;4;3;3;1;3;1;4;2;5;4;1;5;5;3;4;5;2;4;2;5;3;5;5;5;5;4;3;2;5;5;5;5;5;5;5;5;5;5;5;3;2;2;1;3;3;0;4;3;3;1;3;4;4;3;2;3;3;3;3;3;3;"supporter";"R_2qvYTu9ZwJrjQ4J";"no";"no";"FDP";"18-29";"female";"Abitur";"no";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;7;1,27528921944399;0,554381018972247;FALSE
"10";"R_1LTDDzkgVBG3Z02";4;2;2;2;2;5;4;4;0;3;3;5;4;4;3;5;1;2;3;2;3;0;2;4;5;4;2;3;3;4;3;3;3;1;1;5;5;3;3;5;5;0;4;1;2;3;1;3;2;1;2;1;3;2;2;2;3;1;1;2;3;5;5;5;3;5;5;4;5;5;5;2;2;0;1;4;0;3;1;2;0;1;4;1;3;3;1;2;2;1;1;1;"rejecter";"R_1LTDDzkgVBG3Z02";"no";"no";"CDU";"18-29";"female";"Mittlere Reife";"no";0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;5;1,55059073006482;-1,15253375044735;FALSE
