StartDate;EndDate;Status;Progress;Duration (in seconds);Finished;RecordedDate;ResponseId;DistributionChannel;UserLanguage;Q_RecaptchaScore;Q_RecaptchaAssessmentName;PRIVACYINFO;CONSENT;AGE;GENDER;EDUCATION;PARENT;POLITCS_PARTY;POLITICS_LEFTRIGHT;MFQ1_HARM_EMOTIONALLY_1;MFQ1_FAIRNESS_TREATED_2;MFQ1_INGROUP_LOVECOUNTRY_3;MFQ1_AUTHORITY_RESPECT_4;MFQ1_PURITY_DECENCY_5;MFQ1_LIBERTYECO_PROPERTY_6;MFQ1_MATH_7;MFQ1_HARM_WEAK_8;MFQ1_FAIRNESS_UNFAIRLY_9;MFQ1_INGROUP_BETRAY_10;MFQ1_LIBERTYLIFE_FREE_11;MFQ1_AUTHORITY_TRADITIONS_12;MFQ1_PURITY_DISGUSTING_13;MFQ1_HARM_CRUEL_14;MFQ1_FAIRNESS_RIGHTS_15;MFQ1_INGROUP_LOYALTY_16;MFQ1_AUTHORITY_CHAOS_17;MFQ1_PURITY_GOD_18;MFQ2_HARM_COMPASSION_1;MFQ2_FAIRNESS_FAIRLY_2;MFQ2_LIBERTYECO_SOCIETY_3;MFQ2_INGROUP_HISTORY_4;MFQ2_AUTHORITY_KIDRESPECT_5;MFQ2_PURITY_HARMLESSDG_6;MFQ2_GOOD_7;MFQ2_LIBERTYECO_INFER_8;MFQ2_HARM_ANIMAL_9;MFQ2_FAIRNESS_JUSTICE_10;MFQ2_INGROUP_FAMILY_11;MFQ2_LIBERTYECO_WEALTH_12;MFQ2_AUTHORITY_SEXROLES_13;MFQ2_PURITY_UNNATURAL_14;MFQ2_LIBERTYECO_COMMONGOOD_15;MFQ2_HARM_KILL_16;MFQ2_FAIRNESS_RICH_17;MFQ2_LIBERTYECO_PROPERTY_18;MFQ2_INGROUP_TEAM_19;MFQ2_LIBERTYLIFE_TRADITION_20;MFQ2_AUTHORITY_SOLDIER_21;MFQ2_PURITY_CHASTITY_22;MFQ2_LIBERTYLIFE_CHOICE_23;VCI_SAFETY_1;VCI_PARENTSRIGHT_2;VCI_OVERWHELM_3;VCI_PROTECTOTHERS_4;VCI_ALLERGIES_5;VCI_LIVINGSTANDARDS_6;VCI_DECISION_7;VCI_PHARMA_8;VCI_NOTNEEDED_9;VCI_COMPULSORY_10;VCI_CAUSEDISEASE_11;VCI_CONCEAL_12;VCI_ALTERNATIVE_13;VCI_TOXINS_14;VCI_PROTECTALL_15;VCI_NATURALLY_16;VCI_EXEMPT_17;VCI_INEFFECTIVE_18;BVIS_HEPATITISB_1;BVIS_HPV_2;BVIS_MEASELS_3;BVIS_MENINGOCOCCAL_4;BVIS_PERTUSSIS_5;BVIS_MUMPS_6;BVIS_POLIO_7;BVIS_ROTAVIRUS_8;BVIS_RUBELLA_9;BVIS_TETANUS_10;BVIS_CHICKENPOX_11;COVCI_COVIDINFECTION;COVCI_VACCINATED_2;COVCI_YES_ASAP_31;COVCI_YES_DECIDE_32;COVCI_YES_IMPORTANCE_33;COVCI_YES_FREEDECISION_34;COVCI_YES_THOUGHFUL_35;COVCI_YES_SIDEEFFECTS_36;COVCI_YES_INFECTION_37;COVCI_YES_JOBLOSS_38;COVCI_YES_DISADVANTAGE_39;COVCI_YES_TRUST_40;COVCI_YES_RECOMMENDATION_41;COVCI_YES_PROTECTME_42;COVCI_YES_PROTECTOTHERS_43;COVCI_YES_DUTY_44;COVCI_YES_CHOOSEVACCINE_45;COVCI_YES_ANYVACCINE_46;COVCI_YES_UNNATURAL_47;COVCI_YES_WAIT_48;COVCI_YES_INFORMED_49;COVCI_YES_PROTECTGENERALLY_50;COVCI_NO_CHANCE_3;COVCI_NO_INTENTION_4;COVCI_NO_ASAP_5;COVCI_NO_DECIDE_6;COVCI_NO_IMPORTANCE_7;COVCI_NO_THOUGHTFUL_8;COVCI_NO_SIDEEFFECTS_9;COVCI_NO_INFECTION_10;COVCI_NO_JOBLOSS_11;COVCI_NO_DISADVANTAGE_12;COVCI_NO_TRUST_13;COVCI_NO_ROCOMMENDATION_14;COVCI_NO_PROTECTME_15;COVCI_NO_PROTECTOTHERS_16;COVCI_NO_DUTY_17;COVCI_NO_CHOOSEVACCINE_18;COVCI_NO_ANYVACCINE_19;COVCI_NO_UNNATURAL_20;COVCI_NO_WAIT_21;COVCI_NO_INFORMED_22;COVCI_NO_PROTECTGENERALLY_23;COVCI_NO_ASTRAZENECA_24;COVCI_NO_BIONTECH_25;COVCI_NO_MODERNA_26;COVCI_NO_JOHNSON_27;COVCI_NO_SPUTNIK_28;COVCI_NO_APPOINTMENT;COVCI_OPEN_30;Q9.1 - Parent Topics;Q9.1 - Topics
17.05.21 10:24;17.05.21 10:37;0;100;780;1;17.05.21 10:37;R_sI1723z5p22HTu9;anonymous;DE;1;;;1;5;2;2;1;2;4;4;4;4;3;3;4;3;4;4;4;4;3;4;4;4;4;3;4;4;4;4;2;3;3;3;3;3;3;3;2;2;2;3;2;2;3;3;3;2;2;3;2;3;2;2;2;1;2;2;1;1;1;2;1;1;3;2;3;2;3;3;3;3;3;3;3;3;3;3;3;1;2;;;;;;;;;;;;;;;;;;;;;2;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;3;3;3;3;3;3;2;;;
17.05.21 10:34;17.05.21 10:48;0;100;842;1;17.05.21 10:48;R_2ctQW7Ff6b64LKJ;anonymous;DE;0,9;;;1;4;2;1;2;4;4;3;3;0;1;1;4;0;4;4;2;3;0;1;5;3;2;4;0;5;5;3;0;4;0;5;3;5;5;2;4;4;3;1;5;3;3;3;5;2;0;4;3;4;2;3;3;2;4;2;3;0;0;3;3;3;2;2;4;2;3;3;3;1;0;1;1;1;1;4;0;2;2;;;;;;;;;;;;;;;;;;;;;2;1;1;4;1;4;3;3;0;0;2;0;0;3;0;4;0;3;4;0;3;0;3;3;3;3;2;;;
17.05.21 10:36;17.05.21 10:54;0;100;1073;1;17.05.21 10:54;R_2SHqWLuhwL5MpXp;anonymous;DE;0,9;;1;1;4;1;1;2;4;3;4;4;0;1;5;4;1;5;5;5;4;1;3;5;4;0;5;4;4;4;3;0;3;2;5;0;4;5;4;4;4;4;4;5;3;4;3;5;1;0;5;0;0;0;4;2;0;3;1;0;4;0;0;0;0;4;0;1;0;5;5;5;5;5;5;5;5;5;5;5;2;2;;;;;;;;;;;;;;;;;;;;;2;4;4;3;4;3;0;4;0;4;4;4;4;4;4;4;1;0;1;3;4;2;5;4;2;1;1;;;
17.05.21 10:39;17.05.21 10:58;0;100;1112;1;17.05.21 10:58;R_2ANjC8cuOz22eBr;anonymous;DE;0,9;;;1;4;2;1;2;6;1;5;5;5;1;4;3;0;5;5;5;5;0;5;5;5;3;5;2;5;5;5;0;3;2;5;4;4;5;2;4;2;1;1;2;1;5;1;5;0;4;5;3;3;2;3;3;4;3;3;1;3;1;3;2;2;3;3;4;3;4;4;4;4;4;4;4;4;4;5;3;1;2;;;;;;;;;;;;;;;;;;;;;2;4;4;4;4;4;0;0;0;4;1;4;4;4;2;4;1;3;2;1;4;0;5;4;2;2;2;;;
17.05.21 10:59;17.05.21 11:12;0;100;789;1;17.05.21 11:12;R_1EZQizLlhu0dP90;anonymous;DE;0,9;;;1;4;1;1;2;2;6;5;4;0;4;4;4;1;4;5;5;5;1;1;5;5;5;3;0;3;5;1;1;5;0;5;2;1;5;3;5;0;2;1;5;0;5;2;5;1;1;5;0;4;0;4;0;0;4;0;0;4;0;0;0;0;4;2;2;0;5;5;5;5;5;5;5;5;5;5;5;2;1;4;4;4;1;2;0;4;0;0;4;4;4;4;4;2;4;0;0;0;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.05.21 10:33;17.05.21 11:20;0;100;2820;1;17.05.21 11:20;R_2alEUTh5kvO45OR;anonymous;DE;0,9;;;1;4;2;1;2;7;4;4;4;1;3;4;4;0;5;5;5;4;2;2;5;4;4;0;4;4;5;4;1;3;2;4;3;1;4;2;3;4;2;2;5;4;4;3;5;4;0;5;0;3;0;4;3;0;3;1;0;1;0;0;0;0;4;0;3;0;3;1;5;5;4;5;5;4;5;5;4;2;2;;;;;;;;;;;;;;;;;;;;;1;4;4;4;4;3;1;3;0;3;3;4;4;4;0;3;0;0;2;3;3;0;5;5;0;0;2;;;
17.05.21 11:11;17.05.21 11:23;0;100;694;1;17.05.21 11:23;R_1flWRogQ07IDHb7;anonymous;DE;1;;;1;4;2;1;2;2;5;4;3;1;1;3;4;2;4;4;5;5;1;4;5;4;2;4;1;4;5;4;1;3;4;5;5;4;4;1;3;4;4;1;2;2;3;3;3;4;0;4;2;3;1;4;4;2;3;3;0;2;0;0;1;3;4;0;3;3;5;4;5;5;5;5;5;3;3;5;1;2;2;;;;;;;;;;;;;;;;;;;;;2;3;4;4;1;4;3;4;0;4;3;3;3;1;3;4;0;1;3;3;4;0;5;3;0;1;1;;;
17.05.21 11:30;17.05.21 11:38;0;100;489;1;17.05.21 11:38;R_1gGRhrypD7JCNXF;anonymous;DE;1;;;1;4;2;2;2;2;5;4;4;3;4;4;4;1;3;3;3;3;3;3;3;3;3;2;1;3;4;4;2;4;3;5;3;4;4;4;3;4;3;3;5;3;5;4;3;2;2;3;2;3;1;1;3;2;4;3;2;0;1;1;1;2;3;2;3;2;5;4;5;4;4;3;3;4;4;5;5;2;1;3;4;3;3;2;1;1;0;3;2;2;2;2;3;4;0;2;3;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.05.21 11:19;17.05.21 11:42;0;100;1414;1;17.05.21 11:42;R_3HBlnOlz7ohtN9D;anonymous;DE;1;;;1;4;2;1;2;2;5;5;4;4;2;4;4;1;5;5;4;4;1;5;5;5;1;4;0;4;4;3;1;3;1;5;2;5;4;1;3;4;3;5;5;2;4;1;2;1;0;5;0;3;2;4;1;0;3;0;0;3;0;0;1;0;4;2;3;0;5;5;5;3;4;4;2;4;4;4;3;2;1;4;4;4;3;4;1;3;0;2;4;3;4;4;3;3;1;0;1;3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.05.21 11:30;17.05.21 11:43;0;100;765;1;17.05.21 11:43;R_2Y9B8PgksIHrvza;anonymous;DE;1;;;1;4;2;2;2;7;5;5;3;3;2;4;3;1;5;4;3;4;4;1;4;4;3;4;3;5;4;2;2;5;5;5;2;5;5;4;3;1;2;3;5;2;3;3;5;1;2;2;0;0;0;3;2;0;3;0;0;3;4;0;3;0;4;1;3;0;4;4;5;5;5;5;5;3;5;5;5;2;2;;;;;;;;;;;;;;;;;;;;;1;4;2;4;4;4;1;3;3;4;4;4;4;4;4;4;0;1;1;2;3;0;5;3;0;0;1;;;
